"","lon","lat"
"448",-74.0059413,40.7127837
"449",-81.5157535,27.6648274
"450",-1.308648,53.691688
"451",-77.0368707,38.9071923
"452",25.48583,42.733883
"453",NA,NA
"454",NA,NA
"455",NA,NA
"456",NA,NA
"457",NA,NA
"458",-95.712891,37.09024
"459",-88.5225537,44.026406
"460",NA,NA
"461",NA,NA
"462",NA,NA
"463",17.7948189,50.6411215
"464",-81.1637245,33.836081
"465",NA,NA
"466",NA,NA
"467",NA,NA
"468",-95.712891,37.09024
"469",139.7515992,35.6580681
"470",-95.6349463,29.6196787
"471",69.345116,30.375321
"472",NA,NA
"473",-84.2700179,37.8393332
"474",-85.6023643,44.3148443
"475",-91.8318334,37.9642529
"476",NA,NA
"477",-85.3232139,51.253775
"478",-82.8001026,27.9658533
"479",-119.8136946,39.5281353
"480",144.9630576,-37.8136276
"481",NA,NA
"482",-97.7430608,30.267153
"483",-95.712891,37.09024
"484",-95.712891,37.09024
"485",-95.712891,37.09024
"486",-120.5300666,46.6540153
"487",NA,NA
"488",-84.3879824,33.7489954
"489",-83.0146526,42.5144566
"490",-95.712891,37.09024
"491",-92.3425775,42.492786
"492",NA,NA
"493",-95.712891,37.09024
"494",-84.238417,39.2095414
"495",-79.9958864,40.4406248
"496",NA,NA
"497",NA,NA
"498",-71.3824374,42.4072107
"499",NA,NA
"500",-95.712891,37.09024
"501",-93.1435497,44.6402434
"502",-95.712891,37.09024
"503",NA,NA
"504",NA,NA
"505",NA,NA
"506",-77.0368707,38.9071923
"507",-87.7299925,41.728581
"508",NA,NA
"509",NA,NA
"510",NA,NA
"511",-81.5157535,27.6648274
"512",-102.4107493,34.2331373
"513",-84.5182866,39.1128357
"514",-87.6185499,41.8873246
"515",-120.8958242,38.8375215
"516",NA,NA
"517",NA,NA
"518",-71.0588801,42.3600825
"519",-70.2962408,41.6687897
"520",-75.1652215,39.9525839
"521",-79.0192997,35.7595731
"522",-80.148379,25.9812024
"523",-85.6680863,42.9633599
"524",NA,NA
"525",-85.8530469,41.2381
"526",NA,NA
"527",-119.4179324,36.778261
"528",-117.6664308,33.6831832
"529",-95.712891,37.09024
"530",-105.7820674,39.5500507
"531",-111.0937311,34.0489281
"532",NA,NA
"533",-122.6764816,45.5230622
"534",-123.8695086,40.7450055
"535",NA,NA
"536",-3.435973,55.378051
"537",NA,NA
"538",-118.2436849,34.0522342
"539",NA,NA
"540",-89.3985283,32.3546679
"541",-0.1277583,51.5073509
"542",-7.2043533,53.6419042
"543",-95.712891,37.09024
"544",NA,NA
