"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"93","BBoyer1969","RT @charlescwcooke: You're telling this to people who said they're ""NeverTrump."" They . . . know. That's why they said ""never Trump."" https‚Ä¶",238,1,1,-86.1349019,40.2671941
"94","bdogdesign","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-77.1945247,41.2033216
"95","Beacootie","RT @NH92276: Trump is actually worse than #NeverTrump warned he would be. And it's barely December. EC might want to think hard.",4,-2,2,-95.712891,37.09024
"96","BeingSentinel","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-118.2436849,34.0522342
"97","beldch","#NeverTrump presidential candidate Evan McMullin goes off on Trump: ‚ÄòNot a loyal American‚Äô https://t.co/X8Szan6227 https://t.co/bUF4yaEUYY",0,2,2,-86.5804473,35.5174913
"98","BelleStockman","RT @ConstanceQueen8: 'Whatever It Takes': Michelle Malkin Tells Curt Schilling Mitt Romney Should Be Told 'NeverTrump Means Never Hired' ht‚Ä¶",265,-1,1,-110.3625658,46.8796822
"99","BellTrumpkin","RT @IngrahamAngle: Always remember that the #NeverTrump folks were willing to lose the Court for generations to satisfy their ideological p‚Ä¶",1432,1,1,-95.712891,37.09024
"100","BellTrumpkin","@SuzikinsSays Yep..#NeverTrump'ers aka libs are not that smart..",1,1,1,-95.712891,37.09024
"101","benjamintmoore","WHEN TRUMP GETS HIS SECURITY BRIEFINGS, WILL HE HAVE PUTIN ON THE SPEAKER PHONE??? #NotMyPresident #NeverTrump #NotEver",0,1,1,-86.158068,39.768403
"102","BensonDPope","Last poll was a tie. Which# should we use?
#Resist #NeverTrump #AntiTrump #ProtestTrump  ?? 
Please vote or reply with suggestion. ‚úä",1,0,0,-95.712891,37.09024
"103","bernieloom","RT @BillieO2: Beware of false prophets which come to you in sheep's clothing but inwardly they are ravening wolves.

#NeverTrump Ì†ΩÌ∫´ https://‚Ä¶",224,0,0,-87.6297982,41.8781136
"104","berrebi555","https://t.co/2SWPKdjNEm

How can this be considered partisan issue?

#ImWithHer #StrongerTogether #NeverTrump #russianhacking #ElectionFraud",2,-1,1,-118.2467693,34.040713
"105","berrebi555","#ImStillWithHer #StrongerTogether #NeverTrump #TrumpLiesMatter #TheArtOfTheSteal #Unfit https://t.co/sabOm1TSsY",0,-1,1,-118.2467693,34.040713
"106","berrebi555","#NeverTrump #TrumpLiesMatter #TheArtOfTheSteal #DonTheCon #Unfit https://t.co/pdSXvsA0qQ",0,-1,1,-118.2467693,34.040713
"107","Bestamericanew","#NeverTrump presidential candidate Evan McMullin goes off on Trump: ‚ÄòNot a loyal American‚Äô https://t.co/0wJSe1B1sc https://t.co/r9CZXAQnut",0,2,2,-120.7401386,47.7510741
