"","screenName","text","retweetCount","score","absolute_score","lon","lat"
"62","Amityville_Kid","Do I Have Any Retweeters in position?  this is our chance to #MakeHistory  Help me #MakeAmericaGreatAgain and… https://t.co/vfKvIEa1Y5",3,0,0,-73.414773,40.6665601
"63","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/OH2SiUNNYz",3,1,1,-74.4056612,40.0583238
"64","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #tcot #trump https://t.co/qqCVLjY67u",1,3,3,-74.4056612,40.0583238
"65","amrightnow","Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #tcot  #trumptrain #1A https://t.co/c6uBREAqer",1,2,2,-74.4056612,40.0583238
"66","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #1A https://t.co/BXlzqHMaAR",0,2,2,-74.4056612,40.0583238
"67","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/BImVC0URFt",2,1,1,-74.4056612,40.0583238
"68","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/bPQXt7jrWm",2,1,1,-74.4056612,40.0583238
"69","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/Twxk1FDVgt",2,1,1,-74.4056612,40.0583238
"70","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/0gFm2I4gjc",2,1,1,-74.4056612,40.0583238
"71","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #SarahPalin #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/u5m9PmlyJr",1,1,1,-74.4056612,40.0583238
"72","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/2Ci27w5qyI",1,1,1,-74.4056612,40.0583238
"73","amrightnow","""The Real Trump"" Video(Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain https://t.co/ye4sliB2rv",0,1,1,-74.4056612,40.0583238
"74","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/wLHPFcGGYn",1,1,1,-74.4056612,40.0583238
"75","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/ziSlSKK6Gp",1,1,1,-74.4056612,40.0583238
"76","amrightnow","#Realdonaldtrump Follow The Road #MakeAmericaGreatAgain #WisconsinPrimary #Wisconsin #Wisconsinpoll""Unite America"" https://t.co/wlQgl1Bh4E",2,0,0,-74.4056612,40.0583238
"77","amrightnow","""The Real Trump"" Make Video #1 (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain https://t.co/crcT7sctXo",0,2,2,-74.4056612,40.0583238
"78","amrightnow","Watch Trump About You https://t.co/j58e8aacrE via @YouTube #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https://t.co/w4BWyyFXFT",0,1,1,-74.4056612,40.0583238
"79","amrightnow","About You https://t.co/j58e8aacrE via @YouTube #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #1A https://t.co/l0wqkXdSzi",1,0,0,-74.4056612,40.0583238
"80","amrightnow","""The Real Trump"" Make Video (Trump About You) https://t.co/j58e8aacrE #MakeAmericaGreatAgain #trumptrain https://t.co/8oDXjwlTwS",0,2,2,-74.4056612,40.0583238
"81","amrightnow","""The Real Trump"" Make Veteran's # 1) https://t.co/j58e8aacrE #MakeAmericaGreatAgain @realDonaldTrump @DanScavino https://t.co/IhQpn8rhxP",1,1,1,-74.4056612,40.0583238
"82","amrightnow","Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/MlgzHMHk5P",0,1,1,-74.4056612,40.0583238
